id;categoria;nombre;precio;estado;descripcion;imagen_1;imagen_2;imagen_3;imagen_4;imagen_5;imagen_6;orden;activo
AA-001;anillos;Anillo Roseta y diamantes;790;vendido;Anillo roseta de oro 18 quilates y diamantes, talla 16;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771363353/IMG_8184_lrw67a.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771363354/IMG_8193_nwksub.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771363352/IMG_8186_ek1a82.heic;;;;1;si
AA-002;pendientes;Pendientes flor de plata;275;disponible;Pendientes flor plata con filo de oro y zafiros blancos;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771364336/IMG_8011_w7wtrn.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771364337/IMG_8012_aah1di.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771364337/IMG_8014_nlqmvx.heic;;;;2;si
AA-003;anillos;Anillo solitario con diamante;390;vendido;Anillo solitario con diamante y base rayada en platino y oro de 18ct, talla 13;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771364554/IMG_8204_i9nuxt.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771364554/IMG_8209_ulggca.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771364554/IMG_8207_yha6ap.heic;;;;3;si
AA-004;broches;Broche Art Deco diamante;290;disponible;Broche art deco con circulo platino y diamante oro 18ct;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771365340/IMG_8001_w9tfm6.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771365020/IMG_7998_k4dk5u.heic;;;;;4;si
AA-005;anillos;Anillo solitario Art Deco;320;disponible;Anillo solitario Art Deco con diamante, base de platino y oro 18ct, talla 11;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771365581/IMG_7933_nzuj0q.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771365595/IMG_7940_xbfncz.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771365593/IMG_7939_yjio2s.heic;;;;5;si
AA-006;collares;Collar perlas cierre flor;120;vendido;Collar de perlas naturales doble con cierre de plata;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771366493/IMG_8043_vyzbaz.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771366581/IMG_8046_pz9ev7.heic;;;;;6;si
AA-007;broches;Broche de plata;90;disponible;Broche de plata con marcasitas;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771367532/IMG_7992_y63gas.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771367532/IMG_7991_q5s9rl.heic;;;;;7;si
AA-008;anillos;Anillo flor con zafiros;190;vendido;Anillo flor con zafiros, oro 9ct, talla 12;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771367814/IMG_8222_fsvauc.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771367813/IMG_8224_d2sdea.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771367814/IMG_8227_acogrt.heic;;;;8;si
AA-009;anillos;Anillo Daisy Art Deco;290;disponible;Anillo Daisy Art Deco con piedra ágata, oro 9ct, talla 11;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771368277/IMG_7868_khab2y.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771368278/IMG_7873_f6snwy.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771368280/IMG_7871_nxcciv.heic;;;;9;si
AA-010;collares;Collar perlas;75;vendido;Collar perlas pequeñas una vuelta con cierre plata;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771368463/IMG_8053_ecpr33.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771368460/IMG_8051_i3s4fj.heic;;;;;10;si
AA-011;anillos;Anillo plata lanzadera;120;vendido;Anillo lanzadera de plata con marcasitas, talla 11;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771368590/IMG_8099_sd4apo.heic;;;;;;11;si
AA-012;anillos;Anillo crossover;290;vendido;Anillo crossover con base platino y oro de 15ct, talla 13;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771368989/IMG_8215_vcyqi2.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771368988/IMG_8219_vbts1r.heic;;;;;12;si
AA-013;anillos;Anillo tresillo diamanates;390;vendido;Anillo tresillo diamantes y base platino en oro 18ct, talla 15;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771369143/IMG_7893_nmysej.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771369176/IMG_7894_g7u716.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771369184/IMG_7902_fhgkh4.heic;;;;13;si
AA-014;anillos;Anillo oro Art Deco;225;vendido;Anillo oro rectangular Art Deco con marcasitas, oro 19ct;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771369343/IMG_7987_fgwklq.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771369301/IMG_7980_it8tyt.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771369341/IMG_7985_qlzy2k.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771369303/IMG_7983_pasy4w.heic;;;14;si
AA-015;pendientes;Pendientes plata aguamarina;120;disponible;Pendientes plata con marcasitas y aguamarina;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771369786/IMG_8024_mkkf8k.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771369782/IMG_8020_yamzfv.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771369784/IMG_8021_koqgon.heic;;;;15;si
AA-016;anillos;Anillo oro, diamantes y zafiro;490;vendido;Anillo zafiro central con diamantes alrededor oro 18ct, talla 12;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771369952/IMG_7860_lvcx2l.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771369963/IMG_7865_isr9kv.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771369961/IMG_7864_l3houj.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771369954/IMG_7863_byksy7.heic;;;16;si
AA-017;anillos;Anillo Art Deco octogonal;690;vendido;Anillo art deco octogonal con diamante central oro 18ct;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771370134/IMG_8195_qtkpym.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771370143/IMG_8200_v4w0oa.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771370137/IMG_8196_tonw3w.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771370139/IMG_8198_bv1v1b.heic;;;17;si
AA-018;anillos;Anillo crossover con base de platino;350;vendido;Anillo crossover con base platino y oro 18ct, talla 13;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771370307/IMG_7978_lmzzbz.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771370281/IMG_7969_m9oemc.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771370310/IMG_7975_eajwtv.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771370313/IMG_7974_sdma9l.heic;;;18;si
AA-019;anillos;Anillo oro circonitas;180;vendido;Anillo oro sencillo con circonitas oro 19ct, talla 14;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771370492/IMG_7888_n5nuax.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771370451/IMG_7892_jnwdjf.heic;;;;;19;si
AA-020;pendientes;Pendientes espinela granates;150;vendido;Pendientes plata con marcasitas y espinela granate;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771370660/IMG_8005_olwfxo.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771370664/IMG_8008_lbudho.heic;;;;;20;si
AA-021;anillos;Anillo con zafiro;290;vendido;Anillo con zafiro azul claro y diamantes, oro 9ct, talla 16;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771404089/IMG_7955_e5jncm.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771404090/IMG_7964_andzal.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771404089/IMG_7960_zfhldx.heic;;;;21;si
AA-022;anillos;Anillo con esmeralda y diamantes;650;vendido;Anillo esmeralda y diamantes, oro 18ct, talla 14;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771404313/IMG_7878_kqtznc.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771404329/IMG_7882_cwdrwg.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771404331/IMG_7886_oo26k9.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771404329/IMG_7884_j21naf.heic;;;22;si
AA-023;anillos;Anillo camafeo;390;vendido;Anillo camafeo en oro 18ct, talla 18;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771404636/IMG_7947_byb4zf.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771404648/IMG_7954_bt3qwx.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771404646/IMG_7949_ksy2la.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771404647/IMG_7951_abjcre.heic;;;23;si
AA-024;anillos;Anillo granates;250;vendido;Anillo con cinco granates, oro 14ct, talla 16;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771404837/IMG_7916_h8axoo.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771404848/IMG_7922_zfqsgg.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771404847/IMG_7919_iyiplk.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771404847/IMG_7920_r4x04m.heic;;;24;si
AA-025;anillos;Anillo alianza martillada;110;vendido;Anillo tipo alianza martillada, oro 19ct, talla 11;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771404974/IMG_7929_kfjrli.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771404977/IMG_7931_cfreyo.heic;;;;;25;si
AA-026;pendientes;Pendientes con perlas y marcasita;350;disponible;Pendientes largos de plata con perlas de río y marcasitas;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1771405143/IMG_8036_pe4ye8.heic;;;;;;26;si
AA-027;relojes;Reloj Omega de Ville;650;vendido;Reloj Omega de los años 80, de caja rectangular bañada en oro y esfera blanca;https://res.cloudinary.com/do7pipzqv/image/upload/v1773834812/WhatsApp_Image_2026-03-17_at_09.00.16_nb9zlj.jpg;https://res.cloudinary.com/do7pipzqv/image/upload/v1773834812/WhatsApp_Image_2026-03-17_at_09.00.16_1_s97abl.jpg;https://res.cloudinary.com/do7pipzqv/image/upload/v1773834812/WhatsApp_Image_2026-03-17_at_09.00.16_2_sx2nyy.jpg;;;;27;si
AA-028;relojes;Reloj Cartier Vendome;1850;vendido;Reloj Cartier de los años 80, con caja bañada en oro Vermeil, correa de piel y cabujón azul en la corona.;https://res.cloudinary.com/do7pipzqv/image/upload/v1773842652/WhatsApp_Image_2026-03-17_at_09.00.26_1_wyi0s8.jpg;https://res.cloudinary.com/do7pipzqv/image/upload/v1773842652/WhatsApp_Image_2026-03-17_at_09.00.26_qsszsd.jpg;;;;;28;si
AA-029;relojes;Reloj Omega Genève;490;disponible;Reloj Omega Genève de los años 60/70, con caja bañada en oro y cierre original.;https://res.cloudinary.com/do7pipzqv/image/upload/v1773842317/WhatsApp_Image_2026-03-17_at_09.00.43_fah8vq.jpg;https://res.cloudinary.com/do7pipzqv/image/upload/v1773842317/WhatsApp_Image_2026-03-17_at_09.00.42_brzopc.jpg;https://res.cloudinary.com/do7pipzqv/image/upload/v1773842316/WhatsApp_Image_2026-03-17_at_09.00.42_1_lbjloc.jpg;;;;29;si
AA-030;relojes;Omega de Ville Tank;490;vendido;Reloj de la línea de Ville, en acero inoxidable y correa de terciopelo con cierre original.;https://res.cloudinary.com/do7pipzqv/image/upload/v1773842219/WhatsApp_Image_2026-03-17_at_09.00.58_zx8c6v.jpg;https://res.cloudinary.com/do7pipzqv/image/upload/v1773842219/WhatsApp_Image_2026-03-17_at_09.00.57_reh8rv.jpg;https://res.cloudinary.com/do7pipzqv/image/upload/v1773842219/WhatsApp_Image_2026-03-17_at_09.00.57_1_jnef5l.jpg;;;;30;si
AA-031;broches;Broche de oro con piedra azul;240;disponible;Broche antiguo de estilo victoriano en oro de 9ct con piedra azul;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779518642/IMG_1003_vp95aa.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779518641/IMG_1005_neijbq.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779518644/IMG_1012_xzqjcn.heic;;;;31;si
AA-032;broches;Broche oro con piedra granate y perla;240;disponible;Broche antiguo de estilo victoriano en oro de 9ct con granate y perla;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779518557/IMG_1045_ooio8f.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779518556/IMG_1049_cji3oh.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779518557/IMG_1047_gxexbv.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779518558/IMG_1050_ljcq5h.heic;;;32;si
AA-033;broches;Broche de oro con enamel;290;disponible;Broche antiguo de estilo eduardiano en oro de 9ct y con decoración en enamel;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779518521/IMG_1029_w0rcpd.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779518521/IMG_1034_mngbdk.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779518521/IMG_1032_vytwuh.heic;;;;33;si
AA-034;broches;Broche de oro con piedra periodoto;290;disponible;Broche antiguo de estilo eduardiano con piedra periodoto en verde en oro de 9ct;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779518584/IMG_1064_zmtr8h.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779518586/IMG_1061_zdqxqt.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779518585/IMG_1063_o4feny.heic;;;;34;si
AA-035;anillos;Anillo floral diamantes;290;vendido;Anillo de diseño floral con diamantes, base de platino y aro en oro, oro de 9ct, talla 11;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779740937/IMG_1108_qbgjxj.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779740937/IMG_1112_f5tgw3.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779740937/IMG_1116_dmd9zi.heic;;;;35;si
AA-036;anillos;Anillo cluster diamantes;790;disponible;Anillo con cluster cuadrado de diamantes, oro 18 ct, talla 22;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779741073/IMG_1134_mmhugv.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779741073/IMG_1131_ppi4gx.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779741072/IMG_1123_cubiig.heic;;;;36;si
AA-037;anillos;Anillo crossover diamantes;490;disponible;Anillo tipo crossover con cinco diamantes de talla antigua y detalles en platino, oro de 18ct, talla 11;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779741241/IMG_1137_g8vgfo.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779741243/IMG_1145_jn1ig4.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779741242/IMG_1146_agghjf.heic;https://res.cloudinary.com/do7pipzqv/image/upload/w_800,q_auto,f_auto/v1779741244/IMG_1143_inibrs.heic;;;37;si
